3042246	Weyes Blood	http://www.songkick.com/artists/3042246-weyes-blood?utm_source=56832&utm_medium=partner	Weyes Blood	Rock	Alternative Rock	https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_TABLET_LANDSCAPE_16_9.jpg
567564	Mortified	http://www.songkick.com/artists/567564-mortified?utm_source=56832&utm_medium=partner	Mortified Mortician	Rock	Punk	https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_TABLET_LANDSCAPE_16_9.jpg
8519493	The War on Peace	http://www.songkick.com/artists/8519493-war-on-peace?utm_source=56832&utm_medium=partner	The War on Peace	Rock	Rock	https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_TABLET_LANDSCAPE_16_9.jpg
4876678	Phil Cook	http://www.songkick.com/artists/4876678-phil-cook?utm_source=56832&utm_medium=partner	Phil Cook	Rock	Pop	https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_TABLET_LANDSCAPE_16_9.jpg
418492	Charlie Parr	http://www.songkick.com/artists/418492-charlie-parr?utm_source=56832&utm_medium=partner	Charlie Parr	Folk	Folk	https://s1.ticketm.net/dam/a/d25/766ff7ae-b733-4e48-80fd-d6b114e0cd25_678621_TABLET_LANDSCAPE_16_9.jpg
9037609	Superet	http://www.songkick.com/artists/9037609-superet?utm_source=56832&utm_medium=partner	Superet	Rock	Pop	https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_TABLET_LANDSCAPE_16_9.jpg
8942014	I Don't Know How But They Found Me	http://www.songkick.com/artists/8942014-i-dont-know-how-but-they-found-me?utm_source=56832&utm_medium=partner	I Dont Know How But They Found Me	Rock	Pop	https://s1.ticketm.net/dam/a/1be/c89998a7-ca3d-4548-97d2-6de622f9d1be_1004481_TABLET_LANDSCAPE_16_9.jpg
6184204	L'Impératrice	http://www.songkick.com/artists/6184204-limperatrice?utm_source=56832&utm_medium=partner	L'IMPERATRICE	Dance/Electronic	Dance/Electronic	https://s1.ticketm.net/dam/c/df8/81eadad8-4449-412e-a2b1-3d8bbb78edf8_106181_TABLET_LANDSCAPE_16_9.jpg
9264959	Quinn Lewis	http://www.songkick.com/artists/9264959-quinn-lewis?utm_source=56832&utm_medium=partner	Quinn Lewis	Pop	Pop	https://s1.ticketm.net/dam/c/4f2/0109888a-61b5-4525-8432-b026ef04f4f2_105631_TABLET_LANDSCAPE_16_9.jpg
667410	Kevin Garrett	http://www.songkick.com/artists/667410-kevin-garrett?utm_source=56832&utm_medium=partner	Kevin Garrett	Rock	Alternative Rock	https://s1.ticketm.net/dam/a/e04/c6e2a801-3084-4df1-a4e6-a8342093ae04_225851_TABLET_LANDSCAPE_16_9.jpg
8986539	Sammi Lanzetta	http://www.songkick.com/artists/8986539-sammi-lanzetta?utm_source=56832&utm_medium=partner	Sammi Lanzetta	Other	Other	https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_TABLET_LANDSCAPE_16_9.jpg
985615	Tacocat	http://www.songkick.com/artists/985615-tacocat?utm_source=56832&utm_medium=partner	Tacocat	Rock	Pop	https://s1.ticketm.net/dam/a/1ea/a6431d3f-c9f9-4f29-a679-e2ccbb38f1ea_791311_TABLET_LANDSCAPE_16_9.jpg
4424393	Lydia Ainsworth	http://www.songkick.com/artists/4424393-lydia-ainsworth?utm_source=56832&utm_medium=partner	Lydia Ainsworth	Rock	Pop	https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_TABLET_LANDSCAPE_16_9.jpg
6137504	TR/ST	http://www.songkick.com/artists/6137504-trst?utm_source=56832&utm_medium=partner	Tr/st	Rock	Alternative Rock	https://s1.ticketm.net/dam/a/318/5e8e7e9f-fd21-4344-a357-0c5e663b2318_972681_TABLET_LANDSCAPE_16_9.jpg
3499256	Tunde Olaniran	http://www.songkick.com/artists/3499256-tunde-olaniran?utm_source=56832&utm_medium=partner	Tunde Olaniran	Rock	Alternative Rock	https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_TABLET_LANDSCAPE_16_9.jpg
370668	My Brightest Diamond	http://www.songkick.com/artists/370668-my-brightest-diamond?utm_source=56832&utm_medium=partner	My Brightest Diamond	Rock	Pop	https://s1.ticketm.net/dam/a/bac/af88b1b9-e7a4-4188-a46e-5e71d8101bac_782731_TABLET_LANDSCAPE_16_9.jpg
1105447	The Mattson 2	http://www.songkick.com/artists/1105447-mattson-2?utm_source=56832&utm_medium=partner	The Mattson 2	Jazz	Jazz	https://s1.ticketm.net/dam/a/635/586b150f-7077-420c-bae6-54fa64d70635_1012921_TABLET_LANDSCAPE_16_9.jpg
3987991	Nick Waterhouse	http://www.songkick.com/artists/3987991-nick-waterhouse?utm_source=56832&utm_medium=partner	Nick Waterhouse	R&B	R&B	https://s1.ticketm.net/dam/a/4ac/d2192fe3-8576-4242-a80f-968ca48554ac_937721_TABLET_LANDSCAPE_16_9.jpg
2613161	Iceage	http://www.songkick.com/artists/2613161-iceage?utm_source=56832&utm_medium=partner	Iceage	Rock	Alternative Rock	https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_TABLET_LANDSCAPE_16_9.jpg
9126884	Matt Maeson	http://www.songkick.com/artists/9126884-matt-maeson?utm_source=56832&utm_medium=partner	Matt Maeson	Alternative	Alternative	https://s1.ticketm.net/dam/c/797/5e693c26-2881-4776-8f0c-3aa94bfa3797_106511_TABLET_LANDSCAPE_16_9.jpg
249317	Picture This	http://www.songkick.com/artists/249317-picture-this?utm_source=56832&utm_medium=partner	Picture This	Rock	Pop	https://s1.ticketm.net/dam/a/cd1/78c4c1b4-795b-415b-b8c1-c07d98ceacd1_922431_TABLET_LANDSCAPE_16_9.jpg
6942854	Bruno Major	http://www.songkick.com/artists/6942854-bruno-major?utm_source=56832&utm_medium=partner	Bruno Major	Rock	Pop	https://s1.ticketm.net/dam/a/65a/52f910fb-d843-41b1-85ad-daa47c06e65a_670631_TABLET_LANDSCAPE_16_9.jpg
3754006	Apex Manor	http://www.songkick.com/artists/3754006-apex-manor?utm_source=56832&utm_medium=partner	Apex Manor	Rock	Pop	https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_TABLET_LANDSCAPE_16_9.jpg
798114	Strand of Oaks	http://www.songkick.com/artists/798114-strand-of-oaks?utm_source=56832&utm_medium=partner	Strand of Oaks	Folk	Folk	https://s1.ticketm.net/dam/a/41d/0668c648-1831-4011-ac35-b8f5225ec41d_974871_TABLET_LANDSCAPE_16_9.jpg
9713384	Overstreet	http://www.songkick.com/artists/9713384-overstreet?utm_source=56832&utm_medium=partner	Overstreet	Rock	Rock	https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_TABLET_LANDSCAPE_16_9.jpg
8518333	Lostboycrow	http://www.songkick.com/artists/8518333-lostboycrow?utm_source=56832&utm_medium=partner	lostboycrow	Pop	Indie Pop	https://s1.ticketm.net/dam/a/78f/6aa19a2c-5200-4562-b163-92ba6168578f_539881_TABLET_LANDSCAPE_16_9.jpg
393320	The Score	http://www.songkick.com/artists/393320-score?utm_source=56832&utm_medium=partner	The Score	Rock	Pop	https://s1.ticketm.net/dam/a/964/02ab501c-22aa-4a42-bdfc-dc1be7ba8964_522561_TABLET_LANDSCAPE_16_9.jpg
7026414	Dos Santos	http://www.songkick.com/artists/7026414-dos-santos?utm_source=56832&utm_medium=partner	Charlotte Dos Santos	Jazz	Jazz	https://s1.ticketm.net/dam/c/bea/03d47f66-d37b-4aca-aa17-0135be64dbea_105801_TABLET_LANDSCAPE_16_9.jpg
388695	Dengue Fever	http://www.songkick.com/artists/388695-dengue-fever?utm_source=56832&utm_medium=partner	Dengue Fever	Rock	Pop	https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_TABLET_LANDSCAPE_16_9.jpg
2422701	Onra	http://www.songkick.com/artists/2422701-onra?utm_source=56832&utm_medium=partner	Onra	Hip-Hop/Rap	Urban	https://s1.ticketm.net/dam/a/616/d2b0540d-f2ed-4d3b-9810-03dddf035616_273141_TABLET_LANDSCAPE_16_9.jpg
489208	Billy Bragg	http://www.songkick.com/artists/489208-billy-bragg?utm_source=56832&utm_medium=partner	Billy Bragg	Folk	Folk	https://s1.ticketm.net/dam/a/a0d/8893ac4f-53ce-4bc2-9f0d-40b69a144a0d_97311_TABLET_LANDSCAPE_16_9.jpg
489208	Billy Bragg	http://www.songkick.com/artists/489208-billy-bragg?utm_source=56832&utm_medium=partner	Billy Bragg	Folk	Folk	https://s1.ticketm.net/dam/a/a0d/8893ac4f-53ce-4bc2-9f0d-40b69a144a0d_97311_TABLET_LANDSCAPE_16_9.jpg
489208	Billy Bragg	http://www.songkick.com/artists/489208-billy-bragg?utm_source=56832&utm_medium=partner	Billy Bragg	Folk	Folk	https://s1.ticketm.net/dam/a/a0d/8893ac4f-53ce-4bc2-9f0d-40b69a144a0d_97311_TABLET_LANDSCAPE_16_9.jpg
8351288	Bea Miller	http://www.songkick.com/artists/8351288-bea-miller?utm_source=56832&utm_medium=partner	Bea Miller	Pop	Pop	https://s1.ticketm.net/dam/a/c51/cc2a69bd-1396-4a20-93d4-fad34913dc51_978691_TABLET_LANDSCAPE_16_9.jpg
3637481	Alec Benjamin	http://www.songkick.com/artists/3637481-alec-benjamin?utm_source=56832&utm_medium=partner	Alec Benjamin	Pop	Pop	https://s1.ticketm.net/dam/a/1f7/4c9c1795-6b1d-47fd-899d-8087c384d1f7_1008811_TABLET_LANDSCAPE_16_9.jpg
8144568	GURR	http://www.songkick.com/artists/8144568-gurr?utm_source=56832&utm_medium=partner	Gurr	Alternative	Indie Rock	https://s1.ticketm.net/dam/a/19d/6238d251-fb57-4d57-b8ac-da755596019d_465791_TABLET_LANDSCAPE_16_9.jpg
7502854	Bleach Party	http://www.songkick.com/artists/7502854-bleach-party?utm_source=56832&utm_medium=partner	Bleach Party	Rock	Rock	https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_TABLET_LANDSCAPE_16_9.jpg
